split_mode,primary,comparator,seed,metric,improvement_definition,bootstrap_replicates,mean_improvement,std_improvement,ci_lower_2.5,ci_upper_97.5
official,tim_sfsa,legacy18,2347,harrell_c_index,primary_minus_comparator,1000,0.0033495633757399134,0.0011947349842440294,0.0009491828964327737,0.005634991002691284
official,tim_sfsa,legacy18,2347,uno_c_index,primary_minus_comparator,1000,-0.001310322071447688,0.005684529584598267,-0.01414456975970214,0.008700405867300058
official,tim_sfsa,legacy18,2347,integrated_auc,primary_minus_comparator,1000,0.0019733464672947246,0.00124465754988109,-0.00012519235821273616,0.004653635508597877
official,tim_sfsa,legacy18,2347,integrated_brier_score,comparator_minus_primary,1000,0.0012947016425499255,0.0006217485675719005,0.00022925511527670573,0.002617104987862083
official,tim_sfsa,legacy18,2347,24h_tss,primary_minus_comparator,1000,0.013135844227034038,0.011487578296905469,0.0,0.0365617688093106
official,tim_sfsa,legacy18,2347,24h_hss2,primary_minus_comparator,1000,0.007232479464577729,0.006361171585976869,0.0,0.020265314921887972
official,tim_sfsa,legacy18,2347,24h_bss,primary_minus_comparator,1000,0.030241382949436867,0.00987437973176834,0.00861121024258307,0.04732642465648573
official,tim_sfsa,legacy18,2347,48h_tss,primary_minus_comparator,1000,0.012231293994693089,0.009958198396791986,0.0,0.03338070554631869
official,tim_sfsa,legacy18,2347,48h_hss2,primary_minus_comparator,1000,0.0125160040140427,0.008327426034589375,0.0,0.030168116609217695
official,tim_sfsa,legacy18,2347,48h_bss,primary_minus_comparator,1000,0.02184777279626445,0.008716317555247877,0.0033907970976916296,0.037410063061213916
official,tim_sfsa,linear_cox,2345,harrell_c_index,primary_minus_comparator,1000,0.005138785074066115,0.007962111385525262,-0.008609659869315677,0.02262149098195037
official,tim_sfsa,linear_cox,2345,uno_c_index,primary_minus_comparator,1000,-0.004074818447248179,0.021227141924069416,-0.0440926672978793,0.040276608153570044
official,tim_sfsa,linear_cox,2345,integrated_auc,primary_minus_comparator,1000,0.007927271030673762,0.00887852420390914,-0.006531609436912866,0.02837935794028692
official,tim_sfsa,linear_cox,2345,integrated_brier_score,comparator_minus_primary,1000,0.000518137841077762,0.0014201395163269824,-0.002199285570370516,0.0035407497346769887
official,tim_sfsa,linear_cox,2345,24h_tss,primary_minus_comparator,1000,0.03863587966042895,0.02971106778669275,-0.014863536170957524,0.1058996751663934
official,tim_sfsa,linear_cox,2345,24h_hss2,primary_minus_comparator,1000,0.10422596333776318,0.029029934943501878,0.052918223014721,0.1659533932025566
official,tim_sfsa,linear_cox,2345,24h_bss,primary_minus_comparator,1000,-0.01602861904439543,0.0306129908414811,-0.06755300433985371,0.04832174225046825
official,tim_sfsa,linear_cox,2345,48h_tss,primary_minus_comparator,1000,0.045254832324840163,0.02938046401215404,-0.02187458360439793,0.09923932258282264
