split_mode,experiment,feature_count,metric,mean,std,seeds
chronological,logistic,24,12h_observed_survival_km,0.9613497134749082,0.0,3
chronological,logistic,24,12h_precision,0.49590404225364487,0.0,3
chronological,logistic,24,12h_predicted_survival_mean,0.9644463409852763,0.0,3
chronological,logistic,24,12h_recall,1.0,0.0,3
chronological,logistic,24,12h_threshold,0.04505940210596404,0.0,3
chronological,logistic,24,12h_tn_ipcw,629.7246693061264,0.0,3
chronological,logistic,24,12h_tp_ipcw,26.841039795711808,0.0,3
chronological,logistic,24,12h_tss,0.9584717607973422,0.0,3
chronological,logistic,24,144h_alert_fraction,0.2088607594936709,0.0,3
chronological,logistic,24,144h_auc,0.9855814737846117,0.0,3
chronological,logistic,24,144h_average_precision,0.9246794186800668,0.0,3
chronological,logistic,24,144h_brier,0.019429178548518958,0.0,3
chronological,logistic,24,144h_bss,0.6675029027575766,0.0,3
chronological,logistic,24,144h_calibration_intercept,-1.445911705688489,0.0,3
chronological,logistic,24,144h_calibration_slope,2.002120499002858,0.0,3
chronological,logistic,24,144h_ece,0.07410048214225644,0.0,3
chronological,logistic,24,144h_f1,0.4881479993919991,0.0,3
chronological,logistic,24,144h_far,0.6736133763728375,0.0,3
chronological,logistic,24,144h_fn_ipcw,1.169247255604473,0.0,3
chronological,logistic,24,144h_fp_ipcw,72.53882897944457,0.0,3
chronological,logistic,24,144h_hss2,0.440687347208738,0.0,3
chronological,logistic,24,144h_km_reference_brier,0.05843412983047235,0.0,3
chronological,logistic,24,144h_known_count,316.0,0.0,3
chronological,logistic,24,144h_observed_survival_km,0.9473444532866776,0.0,3
chronological,logistic,24,144h_precision,0.32638662362716253,0.0,3
chronological,logistic,24,144h_predicted_survival_mean,0.8465029787458902,0.0,3
chronological,logistic,24,144h_recall,0.9678040241139091,0.0,3
chronological,logistic,24,144h_threshold,0.19796820204292143,0.0,3
chronological,logistic,24,144h_tn_ipcw,531.2402475259325,0.0,3
chronological,logistic,24,144h_tp_ipcw,35.14731788723395,0.0,3
