split_mode,experiment,seed,depth,feature_count,metric,value
chronological,linear_cox,2346,2,24,24h_tn_ipcw,593.8005247169583
chronological,linear_cox,2346,2,24,24h_fp_ipcw,65.71705411887284
chronological,linear_cox,2346,2,24,24h_fn_ipcw,1.169247255604473
chronological,linear_cox,2346,2,24,24h_tss,0.858612377666931
chronological,linear_cox,2346,2,24,24h_hss2,0.40822533701654806
chronological,linear_cox,2346,2,24,24h_far,0.7100087235970793
chronological,linear_cox,2346,2,24,24h_precision,0.2899912764029207
chronological,linear_cox,2346,2,24,24h_recall,0.95825650578081
chronological,linear_cox,2346,2,24,24h_f1,0.44524177202483917
chronological,linear_cox,2346,2,24,24h_alert_fraction,0.13921901528013583
chronological,linear_cox,2346,2,24,24h_known_count,589.0
chronological,linear_cox,2346,2,24,24h_auc,0.9922998458219086
chronological,linear_cox,2346,2,24,24h_average_precision,0.9218933168337996
chronological,linear_cox,2346,2,24,24h_brier,0.010702754097327903
chronological,linear_cox,2346,2,24,24h_km_reference_brier,0.040508589474213846
chronological,linear_cox,2346,2,24,24h_bss,0.7357905018109592
chronological,linear_cox,2346,2,24,24h_predicted_survival_mean,0.9448372260979512
chronological,linear_cox,2346,2,24,24h_observed_survival_km,0.9596542113347408
chronological,linear_cox,2346,2,24,24h_ece,0.01883087246852512
chronological,linear_cox,2346,2,24,24h_calibration_intercept,-0.3283613303742542
chronological,linear_cox,2346,2,24,24h_calibration_slope,1.6434212962696049
chronological,linear_cox,2346,2,24,48h_threshold,0.09503582869278349
chronological,linear_cox,2346,2,24,48h_tp_ipcw,31.68516142832763
chronological,linear_cox,2346,2,24,48h_tn_ipcw,581.3711129348446
chronological,linear_cox,2346,2,24,48h_fp_ipcw,65.18806529475376
chronological,linear_cox,2346,2,24,48h_fn_ipcw,1.169247255604473
chronological,linear_cox,2346,2,24,48h_tss,0.8635882072115022
chronological,linear_cox,2346,2,24,48h_hss2,0.44867012050298827
chronological,linear_cox,2346,2,24,48h_far,0.6729213787943517
chronological,linear_cox,2346,2,24,48h_precision,0.32707862120564835
chronological,linear_cox,2346,2,24,48h_recall,0.9644112524789921
chronological,linear_cox,2346,2,24,48h_f1,0.4884874580333964
chronological,linear_cox,2346,2,24,48h_alert_fraction,0.1528046421663443
chronological,linear_cox,2346,2,24,48h_known_count,517.0
chronological,linear_cox,2346,2,24,48h_auc,0.9932188526162156
chronological,linear_cox,2346,2,24,48h_average_precision,0.9304771916823386
chronological,linear_cox,2346,2,24,48h_brier,0.01101662740862608
chronological,linear_cox,2346,2,24,48h_km_reference_brier,0.048246055336417265
chronological,linear_cox,2346,2,24,48h_bss,0.7716574478098219
chronological,linear_cox,2346,2,24,48h_predicted_survival_mean,0.9336857865447438
chronological,linear_cox,2346,2,24,48h_observed_survival_km,0.9525778467901921
chronological,linear_cox,2346,2,24,48h_ece,0.025048491082469263
chronological,linear_cox,2346,2,24,48h_calibration_intercept,-0.19696148306969277
chronological,linear_cox,2346,2,24,48h_calibration_slope,1.8148183339283752
chronological,linear_cox,2346,2,24,72h_threshold,0.1099573946987018
chronological,linear_cox,2346,2,24,72h_tp_ipcw,31.68516142832763
chronological,linear_cox,2346,2,24,72h_tn_ipcw,580.5565165045858
chronological,linear_cox,2346,2,24,72h_fp_ipcw,75.20162130888417
chronological,linear_cox,2346,2,24,72h_fn_ipcw,1.169247255604473
chronological,linear_cox,2346,2,24,72h_tss,0.8497323533964232
chronological,linear_cox,2346,2,24,72h_hss2,0.410454020857261
chronological,linear_cox,2346,2,24,72h_far,0.7035633348023236
chronological,linear_cox,2346,2,24,72h_precision,0.29643666519767636
chronological,linear_cox,2346,2,24,72h_recall,0.9644112524789921
chronological,linear_cox,2346,2,24,72h_f1,0.45348348766881086
chronological,linear_cox,2346,2,24,72h_alert_fraction,0.17130620985010706
chronological,linear_cox,2346,2,24,72h_known_count,467.0
chronological,linear_cox,2346,2,24,72h_auc,0.9937689739218176
chronological,linear_cox,2346,2,24,72h_average_precision,0.9422517002057016
chronological,linear_cox,2346,2,24,72h_brier,0.010842036153482348
chronological,linear_cox,2346,2,24,72h_km_reference_brier,0.05083338933226156
chronological,linear_cox,2346,2,24,72h_bss,0.7867142778417606
chronological,linear_cox,2346,2,24,72h_predicted_survival_mean,0.9249755777606204
chronological,linear_cox,2346,2,24,72h_observed_survival_km,0.9525778467901921
chronological,linear_cox,2346,2,24,72h_ece,0.03525300225385004
chronological,linear_cox,2346,2,24,72h_calibration_intercept,-0.4258398711114239
chronological,linear_cox,2346,2,24,72h_calibration_slope,1.9499552083410776
chronological,linear_cox,2346,2,24,144h_threshold,0.15953035421942852
chronological,linear_cox,2346,2,24,144h_tp_ipcw,35.14731788723395
chronological,linear_cox,2346,2,24,144h_tn_ipcw,526.973257585965
chronological,linear_cox,2346,2,24,144h_fp_ipcw,76.80581891941189
